Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 4 for remote forward to localhost:8000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://qwhgx-100-27-6-217.run.pinggy-free.link
https://qwhgx-100-27-6-217.run.pinggy-free.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 988, SB: 0, TC: 1, AC: 1               
RB: 988, SB: 0, TC: 1, AC: 1               
RB: 988, SB: 77478, TC: 1, AC: 1               
RB: 988, SB: 77478, TC: 1, AC: 1               
RB: 988, SB: 77478, TC: 1, AC: 1               
RB: 988, SB: 77478, TC: 1, AC: 1               
RB: 988, SB: 77478, TC: 1, AC: 1               
RB: 988, SB: 77478, TC: 1, AC: 1               
RB: 3479, SB: 85331, TC: 3, AC: 3               
RB: 3479, SB: 85331, TC: 3, AC: 3               
RB: 3479, SB: 85485, TC: 3, AC: 3               
RB: 3479, SB: 85485, TC: 3, AC: 0               
RB: 3479, SB: 85485, TC: 3, AC: 4294967295               
RB: 3479, SB: 85485, TC: 4, AC: 0               
RB: 3479, SB: 85485, TC: 4, AC: 0               
RB: 3479, SB: 85485, TC: 4, AC: 4294967295               
RB: 3479, SB: 85485, TC: 5, AC: 0               
RB: 3479, SB: 85485, TC: 5, AC: 0               
RB: 3479, SB: 85485, TC: 5, AC: 0               
RB: 3479, SB: 85485, TC: 5, AC: 4294967295               
RB: 3479, SB: 85485, TC: 6, AC: 0               
RB: 3479, SB: 85485, TC: 6, AC: 0               
RB: 3479, SB: 85485, TC: 6, AC: 0               
RB: 3479, SB: 85485, TC: 6, AC: 0               
RB: 5130, SB: 85749, TC: 5, AC: 2               
RB: 5130, SB: 85749, TC: 5, AC: 2               
RB: 5130, SB: 85749, TC: 5, AC: 2               
RB: 6014, SB: 87568, TC: 5, AC: 2               
RB: 6014, SB: 87568, TC: 5, AC: 2               
RB: 6014, SB: 89465, TC: 5, AC: 2               
RB: 6014, SB: 89465, TC: 5, AC: 2               
RB: 6014, SB: 89465, TC: 5, AC: 2               
RB: 6918, SB: 89742, TC: 5, AC: 2               
RB: 6918, SB: 89742, TC: 5, AC: 2               
RB: 6918, SB: 89742, TC: 5, AC: 2               
RB: 7725, SB: 89933, TC: 5, AC: 2               
RB: 7725, SB: 89933, TC: 5, AC: 1               
RB: 7725, SB: 89933, TC: 5, AC: 1               
RB: 7725, SB: 89933, TC: 5, AC: 1               
RB: 8535, SB: 97397, TC: 5, AC: 1               
RB: 8535, SB: 97397, TC: 5, AC: 1               
RB: 8535, SB: 97397, TC: 5, AC: 1               
RB: 9342, SB: 97588, TC: 5, AC: 1               
RB: 9342, SB: 97588, TC: 5, AC: 1               
RB: 9342, SB: 97588, TC: 5, AC: 1               
RB: 10286, SB: 97930, TC: 5, AC: 1               
RB: 10286, SB: 97930, TC: 5, AC: 1               
RB: 10286, SB: 97930, TC: 5, AC: 1               
RB: 11093, SB: 98194, TC: 5, AC: 1               
RB: 11093, SB: 98194, TC: 5, AC: 0               
RB: 11093, SB: 98194, TC: 6, AC: 1               
RB: 11093, SB: 98194, TC: 6, AC: 1               
RB: 11093, SB: 98194, TC: 6, AC: 1               
RB: 11093, SB: 98194, TC: 6, AC: 1               
RB: 11093, SB: 98194, TC: 6, AC: 1               
RB: 12744, SB: 98404, TC: 5, AC: 1               
RB: 12744, SB: 98404, TC: 5, AC: 1               
RB: 12744, SB: 98668, TC: 5, AC: 1               
RB: 12744, SB: 98668, TC: 5, AC: 0               
RB: 12744, SB: 98668, TC: 6, AC: 1               
RB: 12744, SB: 98668, TC: 6, AC: 1               
RB: 12744, SB: 98668, TC: 6, AC: 1               
RB: 13726, SB: 98668, TC: 6, AC: 2               
RB: 13726, SB: 98668, TC: 6, AC: 1               
RB: 13726, SB: 98668, TC: 6, AC: 1               
RB: 13726, SB: 99326, TC: 6, AC: 1               
RB: 13726, SB: 99326, TC: 6, AC: 1               
RB: 13726, SB: 99326, TC: 6, AC: 1               
RB: 14536, SB: 106915, TC: 6, AC: 1               
RB: 14536, SB: 106915, TC: 6, AC: 0               
RB: 14536, SB: 106915, TC: 6, AC: 0               
RB: 14536, SB: 106915, TC: 6, AC: 4294967295               
RB: 14536, SB: 106915, TC: 7, AC: 0               
RB: 14536, SB: 106915, TC: 7, AC: 0               
RB: 14536, SB: 106915, TC: 7, AC: 1               
RB: 15586, SB: 106915, TC: 7, AC: 1               
RB: 15586, SB: 106915, TC: 7, AC: 0               
RB: 15586, SB: 106915, TC: 8, AC: 1               
RB: 15586, SB: 106915, TC: 8, AC: 1               
RB: 15586, SB: 106915, TC: 8, AC: 0               
